MUN,ZONA,SECAO,LOCAL,URNA,SERIEFC,DHCARGA,CODCARGA,DHABERTURA,DHENCERRAMENTO,ELAPTOS,ELCOMPARECIMENTO,BOULOS,MARCAL,NUNES,TABATA
71072,346,806,1880,2376125,EE651CCE,20240926T144800,462767849074408988475839,20241006T080001,20241006T170213,354,271,117,47,47,37
71072,371,803,2232,2066524,CA25C65E,20240926T151600,311218366253953476606308,20241006T080001,20241006T170445,390,292,117,49,62,16
71072,372,288,1953,2066043,0CF789E3,20240925T093700,028300641108192541036108,20241006T080001,20241006T171233,387,278,112,55,60,19
71072,372,300,1953,2061479,0CF789E3,20240925T095200,452643722451458930553067,20241006T080001,20241006T171051,387,285,121,60,54,15
71072,372,305,1953,2065989,0CF789E3,20240925T095900,957693775601448853781983,20241006T080103,20241006T171112,385,287,115,47,65,24
71072,372,367,2020,2060743,326D0D22,20240924T123700,533451995720917767588766,20241006T080001,20241006T170708,382,280,117,42,68,12
71072,372,378,2054,2065982,BAFCAC12,20240925T142000,392037033790508138955357,20241006T080001,20241006T170646,394,306,124,51,64,17
71072,372,458,2020,2065863,326D0D22,20240924T134200,796077385746023508088360,20241006T080001,20241006T170716,456,303,130,49,72,10
71072,372,501,2224,2066113,7A24AEDE,20240924T122300,604158164342617153625382,20241006T080001,20241006T170410,385,276,112,59,55,12
71072,372,539,2194,2066083,3C9BB122,20240924T125300,129310776583400247344391,20241006T080001,20241006T170248,382,287,122,52,58,14
71072,372,555,2224,2065720,7A24AEDE,20240924T133200,230421582305375822950992,20241006T080001,20241006T170511,384,291,121,49,68,11
71072,372,570,2224,2065810,7A24AEDE,20240924T134100,634461575945798021714409,20241006T080001,20241006T170346,376,290,118,52,72,15
71072,372,592,2224,2065868,7A24AEDE,20240924T141300,998097292281130998004962,20241006T080001,20241006T170609,378,274,111,41,64,18
71072,372,65,1236,1817115,982C8680,20240925T182200,866784838805555908655209,20241006T080001,20241006T170427,390,252,104,36,70,13
71072,372,69,1236,1813978,982C8680,20240926T092600,796077209498891733424438,20241006T080001,20241006T170427,397,264,115,41,62,18
